uri,rdfs_label,locn_geometry
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/0,Carril bici 0,"[[-6.3749874045,39.4489264105],[-6.37451857407,39.4490863579],[-6.37386069552,39.4493109496],[-6.37342023979,39.4494609032],[-6.37386069552,39.4493109496],[-6.37451857407,39.4490863579],[-6.3749874045,39.4489264105]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/1,Carril bici 1,"[[-6.3763224889,39.4531943735],[-6.3753614448,39.4534181461],[-6.37535236191,39.4534188949],[-6.37534168727,39.4534173108],[-6.3753319371,39.4534135882],[-6.37532445058,39.4534091321],[-6.37531822954,39.4534036291],[-6.37531339222,39.453396258],[-6.37396799872,39.4510185477],[-6.37314992697,39.4495776884],[-6.37314925937,39.4495685856],[-6.37315230666,39.4495573731],[-6.37315812443,39.4495468395],[-6.37316712515,39.4495377508],[-6.37321608278,39.4495210535],[-6.37498406312,39.4489180529]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/10,Carril bici 10,"[[-6.3730085636,39.449681297],[-6.37298338008,39.4496401336],[-6.37297561991,39.4496316539],[-6.37296415662,39.4496249708],[-6.37295178604,39.4496209307],[-6.37293526752,39.4496197739],[-6.37292184246,39.4496222908],[-6.37283058962,39.4496534454],[-6.37208821805,39.4499049888],[-6.37207620124,39.4499130214],[-6.3720690941,39.4499247687],[-6.37206610121,39.4499398995],[-6.37208116545,39.4499687875]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/100,Carril bici 100,"[[-6.35282997818,39.4909084993],[-6.35349628866,39.4903063653]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/101,Carril bici 101,"[[-6.35361949789,39.490197957],[-6.35424047272,39.4896370927]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/102,Carril bici 102,"[[-6.35428125973,39.4908504823],[-6.35422659972,39.4908362711],[-6.35418556787,39.4908265843],[-6.35414682302,39.4908207271],[-6.35410314168,39.4908167686],[-6.35407026634,39.4908159142],[-6.35402958247,39.4908157287],[-6.35399200585,39.4908193224],[-6.35396402995,39.4908224959],[-6.35390934204,39.490832774],[-6.35384192903,39.4908498503],[-6.35381068117,39.4908611148],[-6.35371587406,39.4909042055],[-6.35369347685,39.4909166393],[-6.35365636224,39.490940551],[-6.35362510404,39.4909618558],[-6.35346609449,39.4911019548],[-6.35332097998,39.491233233],[-6.35331781401,39.4912375007],[-6.35331794642,39.4912412084],[-6.35331898569,39.4912462071],[-6.35332372863,39.4912543597],[-6.35333006859,39.4912636071]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/103,Carril bici 103,"[[-6.35323117374,39.4913314848],[-6.35322356577,39.4913304647],[-6.35321354621,39.4913318242],[-6.35320494711,39.491338932],[-6.35259260274,39.491888703],[-6.35259052012,39.4918932071],[-6.35259068858,39.4918995619],[-6.35259334891,39.4919050208],[-6.35260256993,39.4919139106]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/104,Carril bici 104,"[[-6.35251832971,39.4919903133],[-6.35250589848,39.4919868546],[-6.35249731537,39.4919863415],[-6.35249048981,39.4919862918],[-6.35248096368,39.4919890385],[-6.35186454154,39.4925440973]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/105,Carril bici 105,"[[-6.33968102296,39.4760374586],[-6.33961610352,39.4760405107],[-6.3395173858,39.4760418164],[-6.33944599273,39.4760392093],[-6.33938462701,39.4760258102],[-6.33934638407,39.4760090505],[-6.33932035379,39.4759899772],[-6.3393032685,39.4759665703],[-6.33929468577,39.4759394681],[-6.33929381513,39.4759225511],[-6.33927795241,39.4758012745],[-6.33925648027,39.4757174726],[-6.339224343,39.4756392614],[-6.33917238533,39.4755415365],[-6.33908034419,39.4754225676],[-6.33896357522,39.4753189164],[-6.33888949594,39.4752661641],[-6.33877854634,39.4752017889],[-6.33869134251,39.4751573731],[-6.33849006903,39.4750743156],[-6.33822745395,39.4749882318],[-6.33779854846,39.4748507871],[-6.33670963012,39.4745036203],[-6.33620587374,39.4743797507],[-6.33579086263,39.4742885472],[-6.33468032993,39.4740428062],[-6.33373465391,39.4738399498],[-6.33338628776,39.473788194],[-6.33327345174,39.4737651823],[-6.33316147523,39.4737400224],[-6.33293973442,39.4736793392],[-6.3326526403,39.4736201338],[-6.33185726436,39.4734636756],[-6.33151857413,39.473399494],[-6.32962940321,39.4730678848],[-6.3295808834,39.4730548568],[-6.32955710824,39.4730452338],[-6.32954859678,39.4730382308],[-6.32955808404,39.4730197283],[-6.32957539514,39.4730070785],[-6.33010614932,39.4725660824]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/106,Carril bici 106,"[[-6.31959074006,39.470440015],[-6.32015280611,39.4705108413],[-6.32021974803,39.4705203271],[-6.32063938195,39.4706043178],[-6.32113650439,39.4707099838],[-6.32245639359,39.4709929368],[-6.32426306392,39.4713786265],[-6.32577677574,39.4717017058],[-6.32594232646,39.4717344471],[-6.32612112142,39.4717652238],[-6.32636445874,39.4717973762],[-6.32653274659,39.4718132421],[-6.32671396217,39.4718190318],[-6.32699108745,39.4718102003],[-6.3270629426,39.4718052904],[-6.32715324116,39.471792866],[-6.32724199341,39.4717751466],[-6.32740365738,39.4717374528],[-6.32763129971,39.4716686064],[-6.32780648756,39.471591594],[-6.32787652632,39.4715612635],[-6.32791802773,39.4715442498],[-6.32795437297,39.4715371204],[-6.32799503839,39.4715419454],[-6.32802497015,39.4715559967],[-6.32803595431,39.4715623621],[-6.32812132315,39.4716287873],[-6.32814923018,39.4716423955],[-6.32820591122,39.4716594438],[-6.32824425861,39.4716686611],[-6.32843408275,39.4717135516],[-6.32854143033,39.47174876],[-6.32859612949,39.4717711489],[-6.32864332109,39.471794277],[-6.32872138962,39.4718408062],[-6.32877980197,39.4718875319],[-6.32883326037,39.4719435445],[-6.32887814443,39.4719948445],[-6.32895207863,39.4720620251],[-6.32907782435,39.4721517913],[-6.32921284642,39.4722395015],[-6.32935366276,39.472315776],[-6.32950279518,39.4723843603],[-6.3295687466,39.4724088915],[-6.32972750738,39.4724628055],[-6.32982665711,39.472486276],[-6.32990181397,39.4724996728],[-6.32998831059,39.4725117093],[-6.33006023393,39.4725331359],[-6.33010614932,39.4725660824],[-6.33015671656,39.4725901363],[-6.33022042376,39.4726155795],[-6.33029394839,39.47264094],[-6.33046119723,39.4726840525],[-6.33079354572,39.4727614863],[-6.33101201279,39.4728099422],[-6.33182038043,39.4729903853],[-6.33223354035,39.4730794331],[-6.33232966075,39.4730912836],[-6.33240985137,39.4730987974],[-6.33258176113,39.4731017153],[-6.33271034777,39.4731063687],[-6.3327761572,39.4731073119],[-6.33286677647,39.4731099591],[-6.33293185493,39.4731108855],[-6.33312414479,39.473114164],[-6.33320362623,39.4731210937],[-6.33328458602,39.4731467777],[-6.33335225314,39.4731948481],[-6.33340732052,39.4732471676],[-6.33345360141,39.473304462],[-6.33346891463,39.473363244],[-6.33345180497,39.4734280895],[-6.33335510105,39.4737022901],[-6.33334391993,39.4737268524],[-6.33332039215,39.4737729719]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/108,Carril bici 108,"[[-6.34079338224,39.4764785765],[-6.34075578226,39.4764339539],[-6.34072735802,39.4764008869],[-6.34067236775,39.4763264483],[-6.34063086409,39.4762635831],[-6.34061591814,39.4762279071],[-6.34059437114,39.4761577764],[-6.3405860225,39.4760855546],[-6.34057856043,39.4760400008]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/109,Carril bici 109,"[[-6.34056383175,39.4765903296],[-6.34052308308,39.4765562397],[-6.34039426938,39.4764612635],[-6.34032069617,39.476417114],[-6.34028013158,39.4763954391],[-6.34021133472,39.4763685795],[-6.34012386385,39.4763380509]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/11,Carril bici 11,"[[-6.36221213081,39.4506950201],[-6.36222422623,39.4508614585],[-6.36222784506,39.4509092927],[-6.36222603718,39.4509250768],[-6.36221974818,39.450941856],[-6.36220869858,39.4509563336],[-6.36219783814,39.4509658016],[-6.3621665665,39.450980917],[-6.36210137206,39.4510093126],[-6.3620582906,39.451036303],[-6.36201074356,39.4510692244],[-6.36197067495,39.4511006703],[-6.3619093173,39.4511623431],[-6.36173372767,39.4513471941],[-6.36164936631,39.4514376837],[-6.36121778099,39.4519375731],[-6.36119038151,39.4519731451],[-6.36112800828,39.4520494022],[-6.36104580167,39.4521857314],[-6.36098060791,39.4523074614],[-6.36095792884,39.4523570855],[-6.36086460868,39.4525909124],[-6.36082518493,39.4527175192],[-6.36080887655,39.45279365],[-6.36077124455,39.452983722],[-6.36074397169,39.4532143885],[-6.36073807788,39.4533212604],[-6.3607470109,39.4533795246],[-6.36088197143,39.4539221936],[-6.36095591861,39.4541448761],[-6.36112463808,39.4545581223],[-6.36120563222,39.4547253026],[-6.36131215156,39.454926343],[-6.36138213967,39.4550480306],[-6.36140416633,39.4550825312],[-6.36160261014,39.455388943],[-6.36170294464,39.4555307873],[-6.36185652905,39.4557344894],[-6.36216550899,39.4560936609],[-6.36235023358,39.4562848562],[-6.36261581102,39.4565327813],[-6.36267562388,39.4565856878],[-6.36302754487,39.4568732459],[-6.3632930737,39.4570681754],[-6.36363192134,39.4572914847],[-6.36383649232,39.4574112881],[-6.3641151308,39.4575744619],[-6.36418746283,39.4576121594],[-6.36429756606,39.457654611],[-6.36443153871,39.457691452],[-6.36452630448,39.4577067625],[-6.36463417031,39.4577175128],[-6.36468811112,39.4577173257],[-6.3647579503,39.4577152196],[-6.36481536449,39.4577113117],[-6.3649059567,39.4576993816],[-6.36515915135,39.4576220402],[-6.3655018092,39.4575140624],[-6.36556592745,39.4576885346],[-6.36560478868,39.457797518],[-6.36547289853,39.4578359322]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/110,Carril bici 110,"[[-6.38209158127,39.4855164412],[-6.3820971149,39.4855679893],[-6.38206741558,39.4856766429],[-6.38202855218,39.4857523916],[-6.38199614305,39.4857966144],[-6.38195720838,39.4858535885],[-6.38192844811,39.4859030018],[-6.38191077632,39.4859437253],[-6.38190038328,39.4859953403],[-6.38189503174,39.4860560083],[-6.38189600374,39.4861120511],[-6.38190229936,39.4861491429],[-6.38193238242,39.4862699426],[-6.38193585386,39.4863296175],[-6.38193408704,39.4863649952],[-6.38192669572,39.4864097816],[-6.38190745366,39.486454301],[-6.381857295,39.4865361805],[-6.38176631403,39.4866786738],[-6.38152262966,39.4870757955],[-6.3813475033,39.4873481009],[-6.38129166533,39.4874312995],[-6.38118707681,39.4875681897],[-6.38111371174,39.4876618909],[-6.38101874164,39.4877694083],[-6.38085363416,39.4879455091],[-6.38072385221,39.4880675664],[-6.38063681082,39.488151083],[-6.38047443726,39.4882921626],[-6.3802850425,39.4884428441],[-6.38005957026,39.4886022752],[-6.37986637011,39.4887314154],[-6.37970340928,39.4888332268],[-6.37958860108,39.4889015577],[-6.3793748037,39.4890206412],[-6.3792718971,39.4890791089],[-6.37912701913,39.489149741],[-6.37899153743,39.4892158171],[-6.37882058337,39.4892962795],[-6.3786006157,39.4893955535],[-6.37853630711,39.4894234597],[-6.37836222197,39.4894900548],[-6.37829482688,39.4895132486],[-6.37799794192,39.4896144895],[-6.37744071637,39.4897850947],[-6.37739549795,39.4897926366],[-6.37735752909,39.4897943094],[-6.37732318867,39.4897929505],[-6.37724247684,39.4897790969],[-6.37720261933,39.4897642346],[-6.377158215,39.4897417775],[-6.37710142306,39.4896982671],[-6.37705932072,39.4896496394],[-6.37703971036,39.4896103738],[-6.37703351756,39.4895869107],[-6.37702655419,39.4895451089],[-6.37702893919,39.4895083831]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/111,Carril bici 111,"[[-6.37221342674,39.4529779057],[-6.3721375009,39.4532046413],[-6.37213263793,39.4532180537],[-6.37212269449,39.4532313511],[-6.37210614488,39.4532464712],[-6.37209423587,39.4532540899],[-6.37109303484,39.4536504134],[-6.37032057692,39.4539558747],[-6.37029603416,39.4539724631],[-6.37028239321,39.4539851248],[-6.37027228553,39.4539952908],[-6.37026542999,39.4540072781],[-6.37015965413,39.4542167593],[-6.37014358256,39.4542398073],[-6.37013062483,39.4542532203],[-6.37011817484,39.4542625974],[-6.37010148319,39.4542712345],[-6.37008837329,39.4542760892],[-6.36997072447,39.4542926295],[-6.36907019457,39.4544204414],[-6.36900757488,39.4544288788],[-6.36898473536,39.45443464],[-6.36895736539,39.454444967],[-6.36893476022,39.4544610361],[-6.36891634621,39.4544815466],[-6.36891005655,39.4544997558],[-6.36890177168,39.4545382595],[-6.36896842309,39.4549242119],[-6.36904137543,39.4553854832],[-6.3690328635,39.4554322987],[-6.36894236278,39.455738251],[-6.36883169251,39.4559991623],[-6.36876027519,39.4561732135],[-6.36874022708,39.4562040298]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/112,Carril bici 112,"[[-6.4400661719,39.5529569355],[-6.44003282412,39.5529650292],[-6.44004011283,39.5530136571],[-6.44003538462,39.5530599481],[-6.44002058311,39.5531048459],[-6.44000145483,39.5531408198],[-6.43997862712,39.5531634693],[-6.43994241399,39.553186184],[-6.43988986498,39.5532069171],[-6.43957795698,39.5533151741],[-6.43933894604,39.5533999929],[-6.4389451548,39.5535322981],[-6.43890453799,39.5535450058],[-6.43873902412,39.5535963997],[-6.4386146414,39.5536305929],[-6.43850276285,39.5536570438],[-6.43834546526,39.5536843848],[-6.43817716003,39.5537040956],[-6.43789143949,39.5537362608],[-6.43759413315,39.5537606925],[-6.43750005311,39.5537697816],[-6.43741649502,39.553777854],[-6.43724552155,39.5537973244],[-6.43716585364,39.5538054762],[-6.43696103962,39.5538305957],[-6.43678288357,39.5538554924],[-6.43653072751,39.5538926291],[-6.43616597999,39.5539502524],[-6.43582883977,39.5540008266],[-6.43546128037,39.554055773],[-6.43505774028,39.5541175812],[-6.43458676734,39.5541933937],[-6.43432638636,39.554229443],[-6.4340247425,39.5542767421],[-6.43388825626,39.5543013837],[-6.43379586014,39.5543201526],[-6.43372109887,39.5543403921],[-6.43363905499,39.5543592995],[-6.43357232368,39.5543795362],[-6.43348752239,39.5544037878],[-6.43339188375,39.5544315836],[-6.43325146406,39.5544776685],[-6.43313902807,39.5545222996],[-6.43302096396,39.5545680675],[-6.4328477565,39.5546448679],[-6.432689981,39.554726063],[-6.43257473073,39.5547933335],[-6.43245049346,39.5548676122],[-6.43232771794,39.5549527336],[-6.43209601016,39.5551167957],[-6.43187723516,39.5552741165],[-6.43161545469,39.5554614761],[-6.43128458749,39.5557012696],[-6.43101864089,39.555884752],[-6.43083188238,39.5560163832],[-6.43058965543,39.5561877769],[-6.43028455681,39.556403994],[-6.4301929205,39.5564714242],[-6.42983633773,39.55672659],[-6.42946396734,39.5569869007],[-6.42917719864,39.5571918992],[-6.42892476667,39.5573715317],[-6.42866501723,39.5575538844],[-6.42834047622,39.5577857014],[-6.4281754737,39.5579046571],[-6.42806518397,39.5579791498],[-6.42795908367,39.558053645],[-6.42787394897,39.5581087851],[-6.42776849688,39.5581688804],[-6.42765271485,39.5582313594],[-6.42753722543,39.5582859171],[-6.42741633005,39.5583418864],[-6.42732139407,39.5583819446],[-6.42722338812,39.5584200428],[-6.42714277914,39.5584503284],[-6.42695660244,39.5585091753],[-6.42680164144,39.5585515968],[-6.42665680791,39.5585845131],[-6.42652272307,39.5586100099],[-6.42637936199,39.5586314272],[-6.42623153529,39.5586540066],[-6.42608956687,39.5586660853],[-6.42588945102,39.5586801183],[-6.42571686223,39.5586925089],[-6.42558735618,39.5587074758],[-6.42548894552,39.5587218705],[-6.42535460751,39.5587479009],[-6.42520891566,39.5587819674],[-6.42503230027,39.5588245371],[-6.42483478919,39.5588688054],[-6.42454652421,39.5589375467],[-6.4242614421,39.5590020336],[-6.42397870191,39.5590661213],[-6.42359952552,39.5591541045],[-6.42334219207,39.5592140697],[-6.42306320152,39.5592774276],[-6.42294663712,39.5593042999],[-6.42284789106,39.5593339998],[-6.42276063826,39.5593581891],[-6.42268158522,39.5593840918],[-6.42270494706,39.5594289332]]"
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/carriles-bici/CarrilBici/113,Carril bici 113,"[[-6.31959074006,39.470440015],[-6.31947249164,39.4704262992],[-6.31922858792,39.4703980081],[-6.31904552823,39.4703767741],[-6.31884044788,39.4703468721],[-6.31869194905,39.4703252198],[-6.31855845497,39.470302272],[-6.31833176858,39.4702562278],[-6.31808607702,39.4702037719],[-6.31790789005,39.4701648188],[-6.31780863366,39.470142619],[-6.31772581814,39.4701267713],[-6.31762908828,39.4701056251],[-6.3174772954,39.4700812168],[-6.31730291786,39.4700433463],[-6.31706602841,39.46999358],[-6.31683323843,39.4699394284],[-6.31653554805,39.4698708369],[-6.3161996567,39.4697943943],[-6.31593160934,39.4697351338],[-6.31538570731,39.4696130248],[-6.31493132966,39.4695139323],[-6.3146577368,39.4694570916],[-6.31450470253,39.4694316554],[-6.31426870161,39.469394347],[-6.31410171544,39.469364606],[-6.31375157123,39.4692918088],[-6.3134981167,39.4692411546],[-6.31273912646,39.4690729981],[-6.31225715066,39.4689623071],[-6.31210758558,39.4689230117],[-6.31184340514,39.4688587385],[-6.31155013799,39.4687802822],[-6.31132660103,39.4687193656],[-6.31108774946,39.4686609739],[-6.31068348111,39.4685702769],[-6.30973040604,39.4683596511],[-6.30940537352,39.4682872799],[-6.30751542161,39.4678698121],[-6.30731286838,39.4678300142],[-6.30721895932,39.4678200638],[-6.30713739326,39.467805233],[-6.30705850686,39.4677874779],[-6.30697118178,39.4677555909],[-6.30681356269,39.4677161021],[-6.30609713869,39.467557148],[-6.30583242527,39.4674992481],[-6.30510222713,39.4673356757],[-6.30443019095,39.4671906815],[-6.30435098694,39.4671787717],[-6.30417373981,39.4671457312],[-6.3039975309,39.4671075139],[-6.30384230697,39.467068483],[-6.3034601675,39.4669619562],[-6.30311663701,39.4668514537],[-6.30277936516,39.4667450771],[-6.30254235346,39.4666679039],[-6.30236841644,39.4666190714],[-6.30214267601,39.4665595248],[-6.30182986028,39.4664845721],[-6.30157269459,39.4664308196],[-6.30138788601,39.4663976602],[-6.30129688614,39.4663945516],[-6.30120048824,39.4663982855],[-6.30114550615,39.4663930269],[-6.30104559414,39.4663548705],[-6.30089441818,39.4662816783],[-6.30081976649,39.4662540629],[-6.30072953589,39.4662310628],[-6.3005207385,39.4661937967],[-6.29996138039,39.466089221],[-6.29950744818,39.4660129741],[-6.2991718016,39.4659643606],[-6.29874760525,39.4658837002],[-6.29866891389,39.4658704945],[-6.29859086729,39.4658595791],[-6.2983376996,39.4658258213],[-6.29817001552,39.4658003075],[-6.29792827213,39.4657545691],[-6.2973075182,39.4656117217],[-6.29620695668,39.4653651324],[-6.29586466284,39.4652894778],[-6.29497325267,39.4650927962],[-6.29466661399,39.4650196746],[-6.2939336394,39.46485579],[-6.29343732105,39.4647572015],[-6.29311516719,39.4646871274],[-6.29297690719,39.4646586018],[-6.29279828769,39.4646180361],[-6.29264340686,39.4645812736],[-6.29123156624,39.4642585485],[-6.28994411507,39.4639677262],[-6.28946880114,39.4638491997],[-6.28910430672,39.4637366028],[-6.2888951918,39.4636640345],[-6.28882045092,39.4636247484],[-6.28734125096,39.462742371],[-6.28679211413,39.4624090193],[-6.28666655315,39.4623291988],[-6.28659032761,39.4622904455],[-6.28652229767,39.4622672417],[-6.28643666592,39.4622629669],[-6.28635205775,39.4622700925],[-6.28626063485,39.462282747],[-6.28621689669,39.4622760374],[-6.28618609953,39.4622571159],[-6.28615927487,39.4622303236],[-6.28615515861,39.4621852904],[-6.28616706491,39.462140738],[-6.28625093213,39.461982857],[-6.28629586854,39.4618844333],[-6.28630873557,39.4618363838],[-6.28630060262,39.4618003579],[-6.28626376021,39.4617483035],[-6.28620292739,39.461686161],[-6.28611639412,39.461610762],[-6.2860232861,39.4615497588],[-6.2859158674,39.461502313],[-6.2858716843,39.4614881982],[-6.28580228213,39.4614814579],[-6.28574371863,39.4614977236],[-6.28558092832,39.4615542167],[-6.28549696882,39.4615824032],[-6.28544271265,39.4616010447],[-6.28538914135,39.4616020686],[-6.28534509086,39.4615845438],[-6.28531124967,39.4615496238],[-6.28526168457,39.4614853265],[-6.28519293158,39.4614069459],[-6.28504919375,39.461275176],[-6.28485758681,39.4611203879],[-6.28461263477,39.4609514123],[-6.28433255242,39.4607395277],[-6.28389413222,39.4603977998],[-6.28377052564,39.4602764533],[-6.28367738031,39.4601637822],[-6.28362017738,39.4601050295],[-6.28241930953,39.4591775818],[-6.28214009783,39.4589659914],[-6.28078237019,39.4579222092],[-6.28055084068,39.4577386076],[-6.2803486853,39.4575642165],[-6.28022139918,39.4574434912],[-6.28013258911,39.4573515386],[-6.27993189207,39.4571321105],[-6.27981925715,39.4569929565],[-6.27973142214,39.4568759982],[-6.27923404945,39.4562120234],[-6.27896436237,39.4558553141],[-6.27862141666,39.4554005442],[-6.2782786812,39.4549254962],[-6.27822646086,39.4548355367],[-6.27820543441,39.4547918137],[-6.27815560814,39.4546956221],[-6.27807362047,39.4544946137],[-6.27799578632,39.4542528894],[-6.27794355931,39.4540784593],[-6.27791371623,39.4539881706],[-6.27760692582,39.452893496],[-6.27735856474,39.452012563],[-6.2768972137,39.4504186535],[-6.27675910959,39.4499293932],[-6.27604156792,39.4474511733],[-6.27595861558,39.4471436284],[-6.27585560421,39.4467872746],[-6.27582370477,39.4466511468],[-6.2757861655,39.4463964292],[-6.27576704799,39.446294446],[-6.27573048064,39.4460477147],[-6.27554844204,39.4448173186],[-6.27550107833,39.4444902721],[-6.27548899866,39.4444052341],[-6.27543146285,39.4440373671],[-6.27538168175,39.4436360324],[-6.27537339407,39.443582422]]"
